diagnosis_code,diagnosis_category
A00,Intestinal infectious diseases
A01,Intestinal infectious diseases
A02,Intestinal infectious diseases
A03,Intestinal infectious diseases
A04,Intestinal infectious diseases
A05,Intestinal infectious diseases
A06,Intestinal infectious diseases
A07,Intestinal infectious diseases
A08,Intestinal infectious diseases
A09,Intestinal infectious diseases
A10,Intestinal infectious diseases
A11,Intestinal infectious diseases
A12,Intestinal infectious diseases
A13,Intestinal infectious diseases
A14,Intestinal infectious diseases
A15,Tuberculosis
A16,Tuberculosis
A17,Tuberculosis
A18,Tuberculosis
A19,Tuberculosis
A20,Certain zoonotic bacterial diseases
A21,Certain zoonotic bacterial diseases
A22,Certain zoonotic bacterial diseases
A23,Certain zoonotic bacterial diseases
A24,Certain zoonotic bacterial diseases
A25,Certain zoonotic bacterial diseases
A26,Certain zoonotic bacterial diseases
A27,Certain zoonotic bacterial diseases
A28,Certain zoonotic bacterial diseases
A29,Other protozoal diseases
A30,Other bacterial diseases
A31,Other bacterial diseases
A32,Other bacterial diseases
A33,Other bacterial diseases
A34,Other bacterial diseases
A35,Other bacterial diseases
A36,Other bacterial diseases
A37,Other bacterial diseases
A38,Other bacterial diseases
A39,Other bacterial diseases
A40,Other bacterial diseases
A41,Other bacterial diseases
A42,Other bacterial diseases
A43,Other bacterial diseases
A44,Other bacterial diseases
A45,Other bacterial diseases
A46,Other bacterial diseases
A47,Other bacterial diseases
A48,Other bacterial diseases
A49,Other bacterial diseases
A50,Infections with a predominantly sexual mode of transmission
A51,Infections with a predominantly sexual mode of transmission
A52,Infections with a predominantly sexual mode of transmission
A53,Infections with a predominantly sexual mode of transmission
A54,Infections with a predominantly sexual mode of transmission
A55,Infections with a predominantly sexual mode of transmission
A56,Infections with a predominantly sexual mode of transmission
A57,Infections with a predominantly sexual mode of transmission
A58,Infections with a predominantly sexual mode of transmission
A59,Infections with a predominantly sexual mode of transmission
A60,Infections with a predominantly sexual mode of transmission
A61,Infections with a predominantly sexual mode of transmission
A62,Infections with a predominantly sexual mode of transmission
A63,Infections with a predominantly sexual mode of transmission
A64,Infections with a predominantly sexual mode of transmission
A65,Other spirochaetal diseases
A66,Other spirochaetal diseases
A67,Other spirochaetal diseases
A68,Other spirochaetal diseases
A69,Other spirochaetal diseases
A70,Other diseases caused by chlamydiae
A71,Other diseases caused by chlamydiae
A72,Other diseases caused by chlamydiae
A73,Other diseases caused by chlamydiae
A74,Other diseases caused by chlamydiae
A75,Rickettsioses
A76,Rickettsioses
A77,Rickettsioses
A78,Rickettsioses
A79,Rickettsioses
A80,Viral infections of the central nervous system
A81,Viral infections of the central nervous system
A82,Viral infections of the central nervous system
A83,Viral infections of the central nervous system
A84,Viral infections of the central nervous system
A85,Viral infections of the central nervous system
A86,Viral infections of the central nervous system
A87,Viral infections of the central nervous system
A88,Viral infections of the central nervous system
A89,Viral infections of the central nervous system
A90,Dengue and Chikungunya virus diseases
A91,Dengue and Chikungunya virus diseases
A92,Arthropod-borne viral fevers and viral haemorrhagic fevers
A93,Arthropod-borne viral fevers and viral haemorrhagic fevers
A94,Arthropod-borne viral fevers and viral haemorrhagic fevers
A95,Arthropod-borne viral fevers and viral haemorrhagic fevers
A96,Arthropod-borne viral fevers and viral haemorrhagic fevers
A97,Arthropod-borne viral fevers and viral haemorrhagic fevers
A98,Arthropod-borne viral fevers and viral haemorrhagic fevers
A99,Arthropod-borne viral fevers and viral haemorrhagic fevers
B00,Viral infections characterized by skin and mucous membrane lesions
B01,Viral infections characterized by skin and mucous membrane lesions
B02,Viral infections characterized by skin and mucous membrane lesions
B03,Viral infections characterized by skin and mucous membrane lesions
B04,Viral infections characterized by skin and mucous membrane lesions
B05,Viral infections characterized by skin and mucous membrane lesions
B06,Viral infections characterized by skin and mucous membrane lesions
B07,Viral infections characterized by skin and mucous membrane lesions
B08,Viral infections characterized by skin and mucous membrane lesions
B09,Viral infections characterized by skin and mucous membrane lesions
B10,Intestinal parasitoses
B11,Intestinal parasitoses
B12,Intestinal parasitoses
B13,Intestinal parasitoses
B14,Intestinal parasitoses
B15,Viral hepatitis
B16,Viral hepatitis
B17,Viral hepatitis
B18,Viral hepatitis
B19,Viral hepatitis
B20,Human immunodeficiency virus [HIV] disease
B21,Human immunodeficiency virus [HIV] disease
B22,Human immunodeficiency virus [HIV] disease
B23,Human immunodeficiency virus [HIV] disease
B24,Human immunodeficiency virus [HIV] disease
B25,Other viral diseases
B26,Other viral diseases
B27,Other viral diseases
B28,Other viral diseases
B29,Other viral diseases
B30,Other viral diseases
B31,Other viral diseases
B32,Other viral diseases
B33,Other viral diseases
B34,Other viral diseases
B35,Mycoses
B36,Mycoses
B37,Mycoses
B38,Mycoses
B39,Mycoses
B40,Mycoses
B41,Mycoses
B42,Mycoses
B43,Mycoses
B44,Mycoses
B45,Mycoses
B46,Mycoses
B47,Mycoses
B48,Mycoses
B49,Mycoses
B50,Protozoal diseases
B51,Protozoal diseases
B52,Protozoal diseases
B53,Protozoal diseases
B54,Protozoal diseases
B55,Protozoal diseases
B56,Protozoal diseases
B57,Protozoal diseases
B58,Protozoal diseases
B59,Protozoal diseases
B60,Protozoal diseases
B61,Protozoal diseases
B62,Protozoal diseases
B63,Protozoal diseases
B64,Protozoal diseases
B65,Helminthiases
B66,Helminthiases
B67,Helminthiases
B68,Helminthiases
B69,Helminthiases
B70,Helminthiases
B71,Helminthiases
B72,Helminthiases
B73,Helminthiases
B74,Helminthiases
B75,Helminthiases
B76,Helminthiases
B77,Helminthiases
B78,Helminthiases
B79,Helminthiases
B80,Helminthiases
B81,Helminthiases
B82,Helminthiases
B83,Helminthiases
B84,Unspecified helminthiasis
B85,"Pediculosis, acariasis and other infestations"
B86,"Pediculosis, acariasis and other infestations"
B87,"Pediculosis, acariasis and other infestations"
B88,"Pediculosis, acariasis and other infestations"
B89,"Pediculosis, acariasis and other infestations"
B90,Sequelae of infectious and parasitic diseases
B91,Sequelae of infectious and parasitic diseases
B90,Sequelae of infectious and parasitic diseases
B91,Sequelae of infectious and parasitic diseases
B92,Sequelae of infectious and parasitic diseases
B93,Sequelae of infectious and parasitic diseases
B94,Sequelae of infectious and parasitic diseases
B95,"Bacterial, viral and other infectious agents"
B96,"Bacterial, viral and other infectious agents"
B97,"Bacterial, viral and other infectious agents"
B98,"Bacterial, viral and other infectious agents"
B99,Other infectious diseases
C00,"Malignant neoplasms of lip, oral cavity and pharynx"
C01,"Malignant neoplasms of lip, oral cavity and pharynx"
C02,"Malignant neoplasms of lip, oral cavity and pharynx"
C03,"Malignant neoplasms of lip, oral cavity and pharynx"
C04,"Malignant neoplasms of lip, oral cavity and pharynx"
C05,"Malignant neoplasms of lip, oral cavity and pharynx"
C06,"Malignant neoplasms of lip, oral cavity and pharynx"
C07,"Malignant neoplasms of lip, oral cavity and pharynx"
C08,"Malignant neoplasms of lip, oral cavity and pharynx"
C09,"Malignant neoplasms of lip, oral cavity and pharynx"
C10,"Malignant neoplasms of lip, oral cavity and pharynx"
C11,"Malignant neoplasms of lip, oral cavity and pharynx"
C12,"Malignant neoplasms of lip, oral cavity and pharynx"
C13,"Malignant neoplasms of lip, oral cavity and pharynx"
C14,"Malignant neoplasms of lip, oral cavity and pharynx"
C15,Malignant neoplasms of digestive organs
C16,Malignant neoplasms of digestive organs
C17,Malignant neoplasms of digestive organs
C18,Malignant neoplasms of digestive organs
C19,Malignant neoplasms of digestive organs
C20,Malignant neoplasms of digestive organs
C21,Malignant neoplasms of digestive organs
C22,Malignant neoplasms of digestive organs
C23,Malignant neoplasms of digestive organs
C24,Malignant neoplasms of digestive organs
C25,Malignant neoplasms of digestive organs
C26,Malignant neoplasms of digestive organs
C27,Malignant neoplasms of other and ill-defined sites
C28,Malignant neoplasms of other and unspecified urinary organs
C29,Malignant neoplasms of other and unspecified male genital organs
C30,Malignant neoplasms of respiratory and intrathoracic organs
C31,Malignant neoplasms of respiratory and intrathoracic organs
C32,Malignant neoplasms of respiratory and intrathoracic organs
C33,Malignant neoplasms of respiratory and intrathoracic organs
C34,Malignant neoplasms of respiratory and intrathoracic organs
C35,Malignant neoplasms of respiratory and intrathoracic organs
C36,Malignant neoplasms of respiratory and intrathoracic organs
C37,Malignant neoplasms of respiratory and intrathoracic organs
C38,Malignant neoplasms of respiratory and intrathoracic organs
C39,Malignant neoplasms of respiratory and intrathoracic organs
C40,Malignant neoplasms of bone and articular cartilage
C41,Malignant neoplasms of bone and articular cartilage
C42,Malignant neoplasms of other and unspecified types of tissue
C43,Melanoma and other malignant neoplasms of skin
C44,Melanoma and other malignant neoplasms of skin
C45,Malignant neoplasms of mesothelial and soft tissue
C46,Kaposi's sarcoma
C47,Malignant neoplasms of peripheral nerves and autonomic nervous system
C48,Malignant neoplasms of retroperitoneum and peritoneum
C49,Malignant neoplasms of other connective and soft tissue
C50,Malignant neoplasm of breast
C51,Malignant neoplasms of female genital organs
C52,Malignant neoplasms of female genital organs
C53,Malignant neoplasms of female genital organs
C54,Malignant neoplasms of female genital organs
C55,Malignant neoplasms of female genital organs
C56,Malignant neoplasms of female genital organs
C57,Malignant neoplasms of female genital organs
C58,Malignant neoplasms of female genital organs
C59,Malignant neoplasm of other and unspecified male genital organs
C60,Malignant neoplasms of male genital organs
C61,Malignant neoplasms of male genital organs
C62,Malignant neoplasms of male genital organs
C63,Malignant neoplasms of male genital organs
C64,Malignant neoplasms of urinary tract
C65,Malignant neoplasms of urinary tract
C66,Malignant neoplasms of urinary tract
C67,Malignant neoplasms of urinary tract
C68,Malignant neoplasms of urinary tract
C69,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C70,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C71,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C72,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C73,Malignant neoplasms of thyroid and other endocrine glands
C74,Malignant neoplasms of thyroid and other endocrine glands
C75,Malignant neoplasms of thyroid and other endocrine glands
C76,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C77,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C78,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C79,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C81,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C82,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C83,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C84,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C85,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C86,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C87,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C88,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C89,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C90,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C91,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C92,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C93,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C94,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C95,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C97,Malignant neoplasms of independent (primary) multiple sites
C98,Other specified malignant neoplasms
C99,Malignant neoplasms of independent (primary) multiple sites
D00,In situ neoplasms
D01,In situ neoplasms
D02,In situ neoplasms
D03,In situ neoplasms
D04,In situ neoplasms
D05,In situ neoplasms
D06,In situ neoplasms
D07,In situ neoplasms
D08,In situ neoplasms
D09,In situ neoplasms
D10,Benign neoplasms
D11,Benign neoplasms
D12,Benign neoplasms
D13,Benign neoplasms
D14,Benign neoplasms
D15,Benign neoplasms
D16,Benign neoplasms
D17,Benign neoplasms
D18,Benign neoplasms
D19,Benign neoplasms
D20,Benign neoplasms
D21,Benign neoplasms
D22,Benign neoplasms
D23,Benign neoplasms
D24,Benign neoplasms
D25,Benign neoplasms
D26,Benign neoplasms
D27,Benign neoplasms
D28,Benign neoplasms
D29,Benign neoplasms
D30,Benign neoplasms
D31,Benign neoplasms
D32,Benign neoplasms
D33,Benign neoplasms
D34,Benign neoplasms
D35,Benign neoplasms
D36,Benign neoplasms
D37,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D38,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D39,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D40,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D41,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D42,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D43,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D44,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D45,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D46,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D47,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D48,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D49,Neoplasms of uncertain or unknown behaviour D50-D53 Nutritional anaemias
D50,Nutritional anaemias  
D51,Nutritional anaemias  
D52,Nutritional anaemias  
D53,Nutritional anaemias  
D54,Thalassemia
D55,Haemolytic anaemias
D56,Haemolytic anaemias
D57,Haemolytic anaemias
D58,Haemolytic anaemias
D59,Haemolytic anaemias
D60,Aplastic and other anaemias
D61,Aplastic and other anaemias
D62,Aplastic and other anaemias
D63,Aplastic and other anaemias
D64,Aplastic and other anaemias
D65,"Coagulation defects, purpura and other haemorrhagic conditions"
